date,equity,cash,peak,drawdown,daily_return
2024-11-11,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-12,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-13,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-14,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-18,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-19,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-21,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-22,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-25,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-26,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-27,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-28,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-29,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-02,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-03,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-04,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-05,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-06,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-09,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-10,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-11,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-12,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-13,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-16,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-17,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-18,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-19,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-20,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-23,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-24,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-26,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-27,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-30,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-12-31,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-01,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-02,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-03,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-06,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-07,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-08,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-09,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-10,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-13,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-14,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-15,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-16,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-17,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-20,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-21,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-22,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-23,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-24,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-27,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-28,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-29,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-30,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-01-31,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-01,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-03,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-04,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-05,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-06,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-07,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-10,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-11,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-12,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-13,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-14,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-17,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-18,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-19,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-20,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-21,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-24,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2025-02-25,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
